id,created_at,updated_at,deleted_at,nombre,codigo,precio_venta,stock
42,2025-08-23 20:57:40.123353 -0500 -05,2025-08-23 20:57:40.123353 -0500 -05,NULL,SUERO FISIOLOGICO 0.9% 500mL PE CORPAUL (CLORURO SODIO),3426,3821.25,4
43,2025-08-23 20:57:40.129881 -0500 -05,2025-08-23 20:57:40.129881 -0500 -05,NULL,PRIMOSISTON *30 TAB - BAYER,3076,28844.45,1
44,2025-08-23 20:57:40.136882 -0500 -05,2025-08-23 20:57:40.136882 -0500 -05,NULL,BISACODILO 5MG *100 GR RECIPE,2542000585,19023.34,2
45,2025-08-23 20:57:40.143443 -0500 -05,2025-08-23 20:57:40.143443 -0500 -05,NULL,ACEITE DE RICINO *60 ML YOMA,5524,2593.75,4
46,2025-08-23 20:57:40.150338 -0500 -05,2025-08-23 20:57:40.150338 -0500 -05,NULL,ACEITE DE RICINO 25 ML * YOMA,5525,1433.74,4
47,2025-08-23 20:57:40.156676 -0500 -05,2025-08-23 20:57:40.156676 -0500 -05,NULL,CLOBETASOL PROPIONATO 0.05% *40GR CREMA LAPROFF,2332,6737.72,3
48,2025-08-23 20:57:40.164258 -0500 -05,2025-08-24 21:01:14.407676 -0500 -05,NULL,GASA ESTERIL  NO TEJIDA 10*10*(4*4) BOLSA *25 SOBRES * 5 UND ZIBOJET,8346ZIBOJ,12500.0,1
49,2025-08-23 20:57:40.172786 -0500 -05,2025-08-23 20:57:40.172786 -0500 -05,NULL,VITAMINA E 400 U.I CAP C X 100 COLMED,20510PE,28637.28,1
50,2025-08-23 20:57:40.180723 -0500 -05,2025-08-23 20:57:40.180723 -0500 -05,NULL,BRONCOFLEM JBE 120ML-HEDERA,7572,7500.0,3
51,2025-08-23 20:57:40.18893 -0500 -05,2025-08-23 20:57:40.18893 -0500 -05,NULL,YODORA DESOD CLASICO CR TUBO* 12 GR TQ,0080046,2751.63,6
52,2025-08-23 20:57:40.196519 -0500 -05,2025-08-23 20:57:40.196519 -0500 -05,NULL,VICK VAPORUB X 50 GR P&G,6952,15660.73,3
53,2025-08-23 20:57:40.204698 -0500 -05,2025-08-23 20:57:40.204698 -0500 -05,NULL,NEXT GL GRIPA CJA* 8 CAP BLANDAS  GENOMMA LAB.,2680,13365.2,2
54,2025-08-23 20:57:40.213056 -0500 -05,2025-08-23 20:57:40.213056 -0500 -05,NULL,ACIDO BORICO *20 GR *25 SOBRES YOMA,5526,12241.06,1
55,2025-08-23 20:57:40.222193 -0500 -05,2025-08-23 20:57:40.222193 -0500 -05,NULL,ACIDO BORICO POLVO *200 GR YOMA,15YOMA,3130.0,6
56,2025-08-23 20:57:40.230171 -0500 -05,2025-08-23 20:57:40.230171 -0500 -05,NULL,ACIDO BORICO POLVO *400 GR YOMA,5527,6306.25,4
57,2025-08-23 20:57:40.23871 -0500 -05,2025-08-23 20:57:40.23871 -0500 -05,NULL,PIEDRA LUMBRE * 400GRS  PROMARQUIN,7141,3256.3,2
58,2025-08-23 20:57:40.24692 -0500 -05,2025-08-23 20:57:40.24692 -0500 -05,NULL,LOTE: 20240812 VENCE: 30/08/2029,27706634040081,151.26,100
59,2025-08-23 20:57:40.255964 -0500 -05,2025-08-23 20:57:40.255964 -0500 -05,NULL,LOTE: 344J59 VENCE: 15/02/2030,3M31296,3562.0,12
60,2025-08-23 20:57:40.262861 -0500 -05,2025-08-23 20:57:40.262861 -0500 -05,NULL,LOTE: 343CAJ VENCE: 18/10/2029,3M14826,6998.0,6
61,2025-08-23 20:57:40.270502 -0500 -05,2025-08-23 20:57:40.270502 -0500 -05,NULL,LOTE: 344KEH VENCE: 20/02/2030,3M00900,3562.0,12
62,2025-08-23 20:57:40.277268 -0500 -05,2025-08-23 20:57:40.277268 -0500 -05,NULL,LOTE: B5B002 VENCE: 28/02/2027,FARMA26723,32980.0,1
63,2025-08-23 20:57:40.284528 -0500 -05,2025-08-23 20:57:40.284528 -0500 -05,NULL,LOTE: 25025011 VENCE: 30/04/2027,TOTA30013,9746.22,3
64,2025-08-23 20:57:40.292096 -0500 -05,2025-08-23 20:57:40.292096 -0500 -05,NULL,LOTE: 2423501 VENCE: 30/07/2027,FAES21206,8998.0,3
65,2025-08-23 20:57:40.299094 -0500 -05,2025-08-23 20:57:40.299094 -0500 -05,NULL,PEDIALYTE MAX 60 COCO X 500 ML,7501033961540,10364.52,2
66,2025-08-23 20:57:40.306547 -0500 -05,2025-08-23 20:57:40.306547 -0500 -05,NULL,PEDIALYTE MAX 60 FRESA X 500 ML,7501033961557,10364.52,4
67,2025-08-23 20:57:40.313976 -0500 -05,2025-08-23 20:57:40.313976 -0500 -05,NULL,PEDIALYTE MAX 60 MANZANA X 500 ML,7501033957369,10364.52,4
68,2025-08-23 20:57:40.322674 -0500 -05,2025-08-23 20:57:40.322674 -0500 -05,NULL,PEDIALYTE MAX 60 UVA X 500 ML,7501033957376,10364.52,6
69,2025-08-23 20:57:40.328267 -0500 -05,2025-08-23 20:57:40.328267 -0500 -05,NULL,ALMIPRO UNGUENTO TRATAMIENTO PANALITIS X 500 GR,7701684000135,51700.0,1
70,2025-08-23 20:57:40.334211 -0500 -05,2025-08-23 20:57:40.334211 -0500 -05,NULL,LOTE: 24B671 VENCE: 30/05/2026,LAFR02728,7683.0,3
71,2025-08-23 20:57:40.342085 -0500 -05,2025-08-23 20:57:40.342085 -0500 -05,NULL,LOTE: 131102502 VENCE: 28/02/2027,NATU84267,13363.87,2
72,2025-08-23 20:57:40.349555 -0500 -05,2025-08-23 20:57:40.349555 -0500 -05,NULL,LOTE: 24B969 VENCE: 30/07/2026,LAFR00958,5982.0,4
73,2025-08-23 20:57:40.356506 -0500 -05,2025-08-23 20:57:40.356506 -0500 -05,NULL,CONGESTEX 60 CAPSULAS,NOVA30601,43395.0,1
74,2025-08-23 20:57:40.362962 -0500 -05,2025-08-23 20:57:40.362962 -0500 -05,NULL,LOTE: MU0690924 VENCE: 30/09/2026,OPHA3142,7436.13,2
75,2025-08-23 20:57:40.369694 -0500 -05,2025-08-23 20:57:40.369694 -0500 -05,NULL,DESODORANTE ARDEN  FOR MEN SOBRES CAJA*18 UNDS,98771,12447.5,1
76,2025-08-23 20:57:40.376501 -0500 -05,2025-08-23 20:57:40.376501 -0500 -05,NULL,CREOLINA-VETERINA *25 ML YOMA,5543,1150.0,2
77,2025-08-23 20:57:40.382221 -0500 -05,2025-08-23 20:57:40.382221 -0500 -05,NULL,VETERINA-CREOLINA *60 ML GLOFARMA,08GLO,2250.0,3
78,2025-08-23 20:57:40.388497 -0500 -05,2025-08-23 20:57:40.388497 -0500 -05,NULL,SULFATO DE MAGNESIA X 400GR PROMARQUIN,7168,1575.63,10
79,2025-08-23 20:57:40.395564 -0500 -05,2025-08-23 20:57:40.395564 -0500 -05,NULL,CONDONES TODAY *  12 PRESERVATIVOS,2PF,45462.82,1
80,2025-08-23 20:57:40.402166 -0500 -05,2025-08-23 20:57:40.402166 -0500 -05,NULL,REXONA CLINICAL CLEAN MEN*20 SOBRES UNILEVER,UNI9,17803.75,1
81,2025-08-23 20:57:40.409052 -0500 -05,2025-08-23 20:57:40.409052 -0500 -05,NULL,REXONA DESODORANTE WOMEN CLINICAL CLASSIC  *20 SOBRESGR UNILEVER,UNI11,17805.0,1
82,2025-08-23 20:57:40.41572 -0500 -05,2025-08-23 20:57:40.41572 -0500 -05,NULL,ATORVASTATINA 20MG*50 TAB LAPROFF,3PROFF,6818.4,2
83,2025-08-23 20:57:40.423111 -0500 -05,2025-08-23 20:57:40.423111 -0500 -05,NULL,CONDON SANAME DUO G-SENSATION CJA*3  BEIERSDORF,9127,8144.58,1
84,2025-08-23 20:57:40.430399 -0500 -05,2025-08-23 20:57:40.430399 -0500 -05,NULL,AMITRIPTILINA 25 MG *300 CAPS RECIPE,2542000160,34160.18,1
85,2025-08-23 20:57:40.437687 -0500 -05,2025-08-23 20:57:40.437687 -0500 -05,NULL,OXIMETAZOLINA ADULTO GOTAS 0.05%  NASAL LA SANTE,4890,11885.49,3
86,2025-08-23 20:57:40.44446 -0500 -05,2025-08-23 20:57:40.44446 -0500 -05,NULL,KETOTIFENO JBE *100ML LAPROFF,2302,3352.38,3
87,2025-08-23 20:57:40.451595 -0500 -05,2025-08-23 20:57:40.451595 -0500 -05,NULL,AGUA OXIGENADA *120 ML OSA,10033,2115.33,8
88,2025-08-23 20:57:40.458473 -0500 -05,2025-08-23 20:57:40.458473 -0500 -05,NULL,GENOPRAZOL 20MG CJA* 14 CAPS,2674,12354.94,3
89,2025-08-23 20:57:40.465566 -0500 -05,2025-08-23 20:57:40.465566 -0500 -05,NULL,"NOXPIRIN SINUS 200MG/20,MG PAGUE 66 LLEVE 72 TAB",20104017683,56860.91,1
90,2025-08-23 20:57:40.473013 -0500 -05,2025-08-23 20:57:40.473013 -0500 -05,NULL,TOR CREMA PROCTOLOGICA ( DEXA + LIDOC 2%,3278,10737.5,3
91,2025-08-23 20:57:40.480002 -0500 -05,2025-08-23 20:57:40.480002 -0500 -05,NULL,NIVEA LATA CREME *30 GR,4417,8544.59,4
92,2025-08-23 20:57:40.486918 -0500 -05,2025-08-23 20:57:40.486918 -0500 -05,NULL,ENALAPRIL 5MG *50 TAB COASPHARMA,C3027,6387.35,3
93,2025-08-23 20:57:40.503434 -0500 -05,2025-08-23 20:57:40.503434 -0500 -05,NULL,MINOXIDIL 5% SLN/TOPICA FCO*60 ML LAPROFF,2229,16051.65,2
94,2025-08-23 20:57:40.510327 -0500 -05,2025-08-23 20:57:40.510327 -0500 -05,NULL,CROMOGLICATO 4% SLN OFTALMICO 5ML TIKOJ BLASKOV,3245,7595.83,3
95,2025-08-23 20:57:40.517998 -0500 -05,2025-08-23 20:57:40.517998 -0500 -05,NULL,APRONAX  275 MG PAGUE 22 LLEVE 28 CAP- LIQUID GEL - BAYER,9050,32728.32,1
96,2025-08-23 20:57:40.526302 -0500 -05,2025-08-23 20:57:40.526302 -0500 -05,NULL,PAX NOCHE LIMON CJA *24 SOBRES EUROFARMA,7677,55092.67,1
97,2025-08-23 20:57:40.535058 -0500 -05,2025-08-23 20:57:40.535058 -0500 -05,NULL,AMBROXOL 15MG/ 5ML JBE *120ML PEDIATRICO LAPROFF,2243,6160.42,2
98,2025-08-23 20:57:40.544564 -0500 -05,2025-08-23 20:57:40.544564 -0500 -05,NULL,AMBROXOL 30MG/5ML JBE *120ML  ADULTOS  LAPROFF,2242,6300.2,2
99,2025-08-23 20:57:40.554112 -0500 -05,2025-08-23 20:57:40.554112 -0500 -05,NULL,SALBUTAMOL 2MG/5ML FCO * 120 JBE LAPROFF,2337,3313.74,3
100,2025-08-23 20:57:40.56162 -0500 -05,2025-08-23 20:57:40.56162 -0500 -05,NULL,CLOBETASOL TRIMICORT CREMA *40 GR PROFMA,6983,13125.0,2
101,2025-08-23 20:57:40.569402 -0500 -05,2025-08-23 20:57:40.569402 -0500 -05,NULL,CLOBETASOL TRIMICORT LOCION FRASCO *60 ML PROFMA,6984,15000.0,2
102,2025-08-23 20:57:40.577956 -0500 -05,2025-08-23 20:57:40.577956 -0500 -05,NULL,AMLODIPINO 10MG TAB C X 10 MEMPHIS,55781,2056.88,6
103,2025-08-23 20:57:40.587788 -0500 -05,2025-08-23 20:57:40.587788 -0500 -05,NULL,CETIRIZINA GOTAS 10MG FCO *15 ML MEMPHIS,304011889,9177.57,1
104,2025-08-23 20:57:40.594636 -0500 -05,2025-08-23 20:57:40.594636 -0500 -05,NULL,CREMA PONDS REJUVENESS 8.5 GR C*10 SBS.,1415,16281.25,1
105,2025-08-23 20:57:40.603435 -0500 -05,2025-08-23 20:57:40.603435 -0500 -05,NULL,GAVISCON LIQUIDO DOBLE ACCION * 12 SACHETS,7402,30597.91,1
106,2025-08-23 20:57:40.611959 -0500 -05,2025-08-23 20:57:40.611959 -0500 -05,NULL,LOTE: 24120004FG VENCE: 30/12/2026,MEDI06926,13980.0,1
107,2025-08-23 20:57:40.620131 -0500 -05,2025-08-23 20:57:40.620131 -0500 -05,NULL,LOTE: E0101042 VENCE: 30/11/2026,ECAR28908,24433.0,2
108,2025-08-23 20:57:40.629401 -0500 -05,2025-08-23 20:57:40.629401 -0500 -05,NULL,LOTE: 24E34 VENCE: 30/09/2026,000194,2952.0,10
109,2025-08-23 20:57:40.637299 -0500 -05,2025-08-23 20:57:40.637299 -0500 -05,NULL,VAGILAC X 14 CAP,7707350411069,53250.0,2
110,2025-08-23 20:57:40.645567 -0500 -05,2025-08-23 20:57:40.645567 -0500 -05,NULL,BOLSA DE PAPEL,C0036,200.0,1
111,2025-08-23 20:57:40.652074 -0500 -05,2025-08-23 20:57:40.652074 -0500 -05,NULL,LOTE: 41339 VENCE: 30/06/2026,SANO4132,55000.0,2
112,2025-08-23 20:57:40.659025 -0500 -05,2025-08-23 20:57:40.659025 -0500 -05,NULL,LOTE: 1498698 VENCE: 30/01/2026,PROC08147,6840.0,2
113,2025-08-23 20:57:40.665551 -0500 -05,2025-08-23 20:57:40.665551 -0500 -05,NULL,ACICLOVIR 5% UNGÜENTO C* 1 TUBO X 15 G LAPROFF,1420,5250.17,3
114,2025-08-23 20:57:40.675078 -0500 -05,2025-08-23 20:57:40.675078 -0500 -05,NULL,ACICLOVIR 800MG * 10 TAB LAPROFF,2351,8102.53,1
115,2025-08-23 20:57:40.682218 -0500 -05,2025-08-23 20:57:40.682218 -0500 -05,NULL,GLUCERNA SR VAINILLA * 400 GR ABBOTT,1133,60000.0,1
116,2025-08-23 20:57:40.68916 -0500 -05,2025-08-23 20:57:40.68916 -0500 -05,NULL,GLUCERNA SR VAINILLA * 850 GR ABBOTT,1160,102000.0,1
117,2025-08-23 20:57:40.695509 -0500 -05,2025-08-23 20:57:40.695509 -0500 -05,NULL,AZITROMICINA 200MG/5ML SUSP FCO X 15ML BAKZIA FARMA COMERCIAL,ME001007,12000.0,1
118,2025-08-23 20:57:40.702269 -0500 -05,2025-08-23 20:57:40.702269 -0500 -05,NULL,ALCOHOL ANTISEPTICO * 350 ML JGB,4737,4694.47,2
119,2025-08-23 20:57:40.708871 -0500 -05,2025-08-23 20:57:40.708871 -0500 -05,NULL,HIDROCORTISONA CREMA 1% * 15G  A.G,1036,3352.38,1
120,2025-08-23 20:57:40.714927 -0500 -05,2025-08-23 20:57:40.714927 -0500 -05,NULL,BETAMETASONA CREMA 0.05% *20GM A.G,1015,4659.24,2
121,2025-08-23 20:57:40.723137 -0500 -05,2025-08-23 20:57:40.723137 -0500 -05,NULL,IBUFLASH MIGRAÑA* 30 CAPS TQ,7812TQ,61429.47,1
122,2025-08-23 20:57:40.730638 -0500 -05,2025-08-23 20:57:40.730638 -0500 -05,NULL,CLORURO DE MAGNESIO 25 GR POTE YOMA,5541,915.0,1
123,2025-08-23 20:57:40.739193 -0500 -05,2025-08-23 20:57:40.739193 -0500 -05,NULL,MILPAX NF SUSP. ORAL CEREZA 10ML X 12 SOB FARMA DE COL.,8658,14876.77,1
124,2025-08-23 20:57:40.746602 -0500 -05,2025-08-23 20:57:40.746602 -0500 -05,NULL,VITAMIX 15 X 30 SOBRES,7707362320014,572268.91,1
125,2025-08-23 20:57:40.754949 -0500 -05,2025-08-23 20:57:40.754949 -0500 -05,NULL,NEOGYNON ETINILESTRADIOLLEVONORGESTREL 0.05025 MG X 21 TABL,7896116861016,6399.96,2
126,2025-08-23 20:57:40.761707 -0500 -05,2025-08-23 20:57:40.761707 -0500 -05,NULL,LOTE: 12980-2501 VENCE: 31/01/2027,VITA953794,15966.39,3
127,2025-08-23 20:57:40.769146 -0500 -05,2025-08-23 20:57:40.769146 -0500 -05,NULL,LOTE: 2501001026 VENCE: 31/01/2027,NOVA43601,41128.0,2
128,2025-08-23 20:57:40.7753 -0500 -05,2025-08-23 20:57:40.7753 -0500 -05,NULL,LOTE: 1521953 VENCE: 30/07/2027,FARM1339,6298.0,6
129,2025-08-23 20:57:40.784356 -0500 -05,2025-08-23 20:57:40.784356 -0500 -05,NULL,LOTE: 105424 VENCE: 30/07/2026,BIOQ80613,7501.0,2
130,2025-08-23 20:57:40.792374 -0500 -05,2025-08-23 20:57:40.792374 -0500 -05,NULL,LOTE: 426121 VENCE: 30/08/2026,HUMA26935,34767.0,1
131,2025-08-23 20:57:40.799904 -0500 -05,2025-08-23 20:57:40.799904 -0500 -05,NULL,LOTE: 4S501 VENCE: 30/09/2026,HUMAX82093,6088.0,3
132,2025-08-23 20:57:40.808236 -0500 -05,2025-08-23 20:57:40.808236 -0500 -05,NULL,LOTE: 1451721 VENCE: 30/03/2026,FARM161093,3367.0,15
133,2025-08-23 20:57:40.816115 -0500 -05,2025-08-23 20:57:40.816115 -0500 -05,NULL,LOTE: 3340035 VENCE: 30/12/2027,LASA2381,20987.0,3
134,2025-08-23 20:57:40.823631 -0500 -05,2025-08-23 20:57:40.823631 -0500 -05,NULL,DOLEX GRIPA ACETAMINOFENCLORFENIRAMINAFENILEFRINA X 100 TABL,7451079001529,118300.0,1
135,2025-08-23 20:57:40.830701 -0500 -05,2025-08-23 20:57:40.830701 -0500 -05,NULL,NOXPIRIN PLUS CAJA X 120 CAP,7707355055626,121299.6,1
136,2025-08-23 20:57:40.838783 -0500 -05,2025-08-23 20:57:40.838783 -0500 -05,NULL,HUMYLUB OFTENO CONDROITINAHIALURONATO DE SODIO 1.81 MG OFTALMICO X 15 ML,7360845405668,77962.67,1
137,2025-08-23 20:57:40.846029 -0500 -05,2025-08-23 20:57:40.846029 -0500 -05,NULL,LOTE: 1020245290MM VENCE: 30/10/2029,7707228365845C,14268.91,1
138,2025-08-23 20:57:40.852968 -0500 -05,2025-08-23 20:57:40.852968 -0500 -05,NULL,LOTE: 50047858M VENCE: 30/09/2029,4968420500349,13428.57,1
139,2025-08-23 20:57:40.860991 -0500 -05,2025-08-23 20:57:40.860991 -0500 -05,NULL,LOTE: 91064 VENCE: 30/04/2026,LAPR60994,1800.0,4
140,2025-08-23 20:57:40.86811 -0500 -05,2025-08-23 20:57:40.86811 -0500 -05,NULL,LOTE: 5GB0131 VENCE: 30/12/2026,CIPL0899,5390.0,4
141,2025-08-23 20:57:40.874485 -0500 -05,2025-08-23 20:57:40.874485 -0500 -05,NULL,LOTE: 8827 VENCE: 30/04/2027,ZANE51265,4980.0,3
142,2025-08-23 20:57:40.881419 -0500 -05,2025-08-23 20:57:40.881419 -0500 -05,NULL,LOTE: 24084 VENCE: 30/12/2027,AMER82331,22423.81,1
143,2025-08-23 20:57:40.888945 -0500 -05,2025-08-23 20:57:40.888945 -0500 -05,NULL,LOTE: LEF23008 VENCE: 30/12/2027,FAESFA1053,4980.0,6
144,2025-08-23 20:57:40.894952 -0500 -05,2025-08-23 20:57:40.894952 -0500 -05,NULL,LOTE: 7310 VENCE: 30/04/2027,ZANE51364,4980.0,2
145,2025-08-23 20:57:40.902698 -0500 -05,2025-08-23 20:57:40.902698 -0500 -05,NULL,LOTE: 3701 VENCE: 30/04/2027,ZANE51661,4980.0,3
146,2025-08-23 20:57:40.909603 -0500 -05,2025-08-23 20:57:40.909603 -0500 -05,NULL,LOTE: 6818 VENCE: 28/02/2027,ZANE51166,4980.0,3
147,2025-08-23 20:57:40.917022 -0500 -05,2025-08-23 20:57:40.917022 -0500 -05,NULL,LOTE: 24D779 VENCE: 30/12/2026,LAFR02636,5298.0,3
148,2025-08-23 20:57:40.923589 -0500 -05,2025-08-23 20:57:40.923589 -0500 -05,NULL,LOTE: 24B087 VENCE: 30/04/2026,LAFRA63948,12500.0,4
149,2025-08-23 20:57:40.930753 -0500 -05,2025-08-23 20:57:40.930753 -0500 -05,NULL,LOTE: HD202501 VENCE: 09/01/2030,MEDI06448,7141.18,2
150,2025-08-23 20:57:40.937945 -0500 -05,2025-08-23 20:57:40.937945 -0500 -05,NULL,LOTE: 25082 VENCE: 30/04/2027,ANGL0285,6890.0,3
151,2025-08-23 20:57:40.944116 -0500 -05,2025-08-23 20:57:40.944116 -0500 -05,NULL,LOTE: 2402076 VENCE: 30/11/2026,ANGL0352,6890.0,3
152,2025-08-23 20:57:40.952922 -0500 -05,2025-08-23 20:57:40.952922 -0500 -05,NULL,LOTE: 14242498A VENCE: 30/09/2027,LEGR22280,18900.0,2
