id,created_at,updated_at,deleted_at,factura_id,producto_id,cantidad,precio_unitario,precio_total,uuid,factura_uuid
23,2025-09-25 21:29:08.363915+00,2025-09-25 21:29:08.363915+00,,20,712,1,3500,3500,53398b09-7bab-4a5c-ab0e-231ed5211802,d32953e8-8911-4b75-836d-1e729dcea31f
24,2025-09-25 21:29:08.363915+00,2025-09-25 21:29:08.363915+00,,20,845,1,8900,8900,4d940c7e-3b66-4989-b44a-5a1f749fd3fa,d32953e8-8911-4b75-836d-1e729dcea31f
25,2025-09-25 21:29:08.363915+00,2025-09-25 21:29:08.363915+00,,20,659,30,700,21000,f31d33b1-7adf-4103-83f9-90ab6e8c40dd,d32953e8-8911-4b75-836d-1e729dcea31f
26,2025-09-25 21:30:12.819716+00,2025-09-25 21:30:12.819716+00,,21,846,1,2900,2900,9ce3cd11-bc88-49ea-b3d8-ded08093080b,9f642727-4468-4bf5-84f4-7f969335690a
27,2025-09-25 21:50:58.107659+00,2025-09-25 21:50:58.107659+00,,22,600,1,1800,1800,b9500a79-aebb-4bdb-9a44-bd4705e4d54c,91b4e2e9-0145-44ff-9b24-278434a18f89
28,2025-09-25 21:50:58.107659+00,2025-09-25 21:50:58.107659+00,,22,11,1,1000,1000,ab7572c2-6c2c-479b-84e5-9ce645703cba,91b4e2e9-0145-44ff-9b24-278434a18f89
29,2025-09-25 21:54:19.836968+00,2025-09-25 21:54:19.836968+00,,23,568,1,8300,8300,fb19e6df-2dc0-4724-acf6-32cb995afe9c,de163f07-6052-4a11-8cf4-500c1e9394da
30,2025-09-25 21:54:19.836968+00,2025-09-25 21:54:19.836968+00,,23,645,3,1300,3900,8ff4d868-bee5-4197-9fdc-7a5bac53b9f0,de163f07-6052-4a11-8cf4-500c1e9394da
31,2025-09-25 21:54:19.836968+00,2025-09-25 21:54:19.836968+00,,23,582,1,5900,5900,81fe245a-f856-4b8a-9089-0ebf1770d0c8,de163f07-6052-4a11-8cf4-500c1e9394da
32,2025-09-26 16:36:39.70651+00,2025-09-26 16:36:39.70651+00,,24,667,2,1400,2800,56a12012-582c-47f5-a8f0-952127407cf3,ab3f92b9-3daf-4614-a4aa-e8d9ab0b7955
33,2025-09-26 16:37:00.988361+00,2025-09-26 16:37:00.988361+00,,25,54,2,500,1000,72c0e1df-7878-435e-b3c4-9c6ad4be467a,82205ff4-5e72-4dbb-ad68-b03395030416
34,2025-09-26 16:38:22.694042+00,2025-09-26 16:38:22.694042+00,,26,713,1,3500,3500,6863bba0-3a73-4d33-8994-a1bdd165c702,9470f005-e92d-44bd-878c-9737be4c9544
35,2025-09-26 16:38:22.694042+00,2025-09-26 16:38:22.694042+00,,26,146,1,17900,17900,63ba5be7-674f-496d-9348-88a99063d06b,9470f005-e92d-44bd-878c-9737be4c9544
36,2025-09-26 16:38:22.694042+00,2025-09-26 16:38:22.694042+00,,26,824,1,6800,6800,12b5b9bf-2867-45f2-a54b-9c79a3da83d1,9470f005-e92d-44bd-878c-9737be4c9544
37,2025-09-26 16:38:53.03645+00,2025-09-26 16:38:53.03645+00,,27,452,1,10500,10500,6936767f-fe64-47db-b8f8-040f5b8ed0bc,787684a5-caf1-4bfe-a7e4-3460dd777945
38,2025-09-26 16:39:40.094132+00,2025-09-26 16:39:40.094132+00,,28,247,1,2800,2800,72c86a2a-8c58-4236-a38c-b7078a157c38,c4d91b6a-ccd3-4cff-8415-8f1231fe57ad
39,2025-09-26 16:40:57.276367+00,2025-09-26 16:40:57.276367+00,,29,436,4,500,2000,f10aa37f-4ac4-41a0-9954-c0ba088b34ab,810db8e1-7a3f-4ea7-a6e4-80146f17cce6
40,2025-09-26 16:43:39.236565+00,2025-09-26 16:43:39.236565+00,,30,706,1,29500,29500,92f05f86-4aee-419d-b548-7d7f2071726a,33e3d58d-33cf-4b53-b563-802f75932231
41,2025-09-26 16:45:10.940978+00,2025-09-26 16:45:10.940978+00,,31,590,10,400,4000,d618bf7c-4b42-4d51-a021-5ad78e2d8ce7,39fd742f-75fb-4a00-83f3-2b0cdc546ef3
42,2025-09-26 16:45:59.356632+00,2025-09-26 16:45:59.356632+00,,32,594,1,6300,6300,9b161e46-3839-4596-8972-83bc5f85b00c,baa324b4-47be-4e9d-b48f-aefb3c534521
43,2025-09-26 16:47:45.173701+00,2025-09-26 16:47:45.173701+00,,33,331,12,400,4800,0076fcad-3d0b-4a6e-b6de-e34f20f7bf6f,5f10cd92-99d8-4224-a1a6-41b382c6c1b9
44,2025-09-26 16:54:23.286259+00,2025-09-26 16:54:23.286259+00,,34,784,2,4800,9600,b1abfa97-bbd1-4608-8e0e-b14041a75a9f,d2f4a8f7-fe2e-464f-88df-ca0fc1369d29
45,2025-09-26 16:54:23.286259+00,2025-09-26 16:54:23.286259+00,,34,464,2,2800,5600,8a375cd8-2f75-479a-b10a-67604350226a,d2f4a8f7-fe2e-464f-88df-ca0fc1369d29
46,2025-09-26 17:06:41.501624+00,2025-09-26 17:06:41.501624+00,,35,836,3,1600,4800,d3861443-ce54-4e5b-b7ef-c86052f6ae7d,ac3b74f0-ce91-4599-a304-6b55561789e3
47,2025-09-26 17:06:57.558492+00,2025-09-26 17:06:57.558492+00,,36,62,1,3000,3000,b306dea8-a4f3-4254-9345-0773b8fc669f,84c5a5b7-82cd-44f2-aeb9-81a7021ecb4c
48,2025-09-26 17:10:08.637907+00,2025-09-26 17:10:08.637907+00,,37,375,10,500,5000,7ff8f42e-44d1-47bb-963f-c3e324a1039d,76bb6ad2-d27b-4039-b488-87bf17f71112
49,2025-09-26 17:11:05.663241+00,2025-09-26 17:11:05.663241+00,,38,206,4,1600,6400,86d13942-cac9-41ad-a6fa-6e96bccf35f7,ca23fc89-7efe-459c-818c-6daca79204a5
50,2025-09-26 17:13:27.758548+00,2025-09-26 17:13:27.758548+00,,39,13,10,150,1500,accff960-d04f-4365-a197-6b9cc07ec910,090a0b90-e43a-4b2c-8f01-db4b8402807d
51,2025-09-26 17:13:42.286288+00,2025-09-26 17:13:42.286288+00,,40,658,4,1100,4400,f5b4ba53-e8bc-4916-b4b9-d095cb4ecae8,ddb49858-0c83-476f-89ea-4a2ac49b5d25
52,2025-09-26 17:23:40.662751+00,2025-09-26 17:23:40.662751+00,,41,664,2,900,1800,3b7ae740-f66c-4adb-9070-a49f75cbeb07,1f5e1348-53f1-4f78-bd18-e0d7c89e8368
53,2025-09-26 17:24:18.830401+00,2025-09-26 17:24:18.830401+00,,42,670,1,500,500,57ef1cbd-3269-4179-962e-0eb8644586e0,c0d69e8a-9eb3-4113-bd38-77212c0ef385
54,2025-09-26 17:25:49.134642+00,2025-09-26 17:25:49.134642+00,,43,12,10,150,1500,425e51b4-a517-4710-a07e-3717c6feff2e,7c305bc2-33a7-4e81-8963-efbc0b0353f0
55,2025-09-26 17:39:00.060384+00,2025-09-26 17:39:00.060384+00,,44,431,4,2700,10800,01912a2b-2748-474e-acee-bbc9685549ad,448a8a36-0e70-454c-bbcb-5f8c94b10dfa
56,2025-09-26 18:05:52.176667+00,2025-09-26 18:05:52.176667+00,,45,639,10,300,3000,5bcfea24-54cb-4985-8d2a-ba136f443e48,3d51fc14-950c-48a7-8562-0a3e2a867bc5
57,2025-09-26 18:05:52.176667+00,2025-09-26 18:05:52.176667+00,,45,12,10,150,1500,53d92361-0a64-4e00-98bd-b52fd6d7eb45,3d51fc14-950c-48a7-8562-0a3e2a867bc5
58,2025-09-26 18:07:21.345443+00,2025-09-26 18:07:21.345443+00,,46,847,1,4900,4900,c1112a85-aa15-4cac-9ff1-823af53ceb3e,209decad-1463-4035-811b-c49442d2b1dd
59,2025-09-26 18:09:46.216567+00,2025-09-26 18:09:46.216567+00,,47,334,2,400,800,2a70ff3c-5819-441d-8f8c-264da77bfa2e,f6294569-4946-4245-b335-9f8e0e134ff4
60,2025-09-26 18:13:03.368875+00,2025-09-26 18:13:03.368875+00,,48,682,1,2600,2600,7372ccba-df0a-4922-a9ab-bc0f33065962,7821be02-9397-4917-912f-cc0328e08eb2
61,2025-09-26 18:13:03.368875+00,2025-09-26 18:13:03.368875+00,,48,667,1,1400,1400,900d3eeb-4f07-40e7-b85f-c41b74bf30da,7821be02-9397-4917-912f-cc0328e08eb2
62,2025-09-26 18:18:02.759563+00,2025-09-26 18:18:02.759563+00,,49,648,20,150,3000,b65b3877-49a7-480b-9dd5-f22c72bd3115,f42826f5-f9f8-437f-9250-043a9c1ca025
63,2025-09-26 18:33:41.617292+00,2025-09-26 18:33:41.617292+00,,50,540,1,2400,2400,ab6edfa5-0109-478e-a532-7414a94850e4,fe0c9af7-971b-442f-822b-31c80212c939
64,2025-09-26 18:41:09.266748+00,2025-09-26 18:41:09.266748+00,,51,54,4,500,2000,7a1a389c-50d8-41ba-89ab-5542b266feb8,d237f09e-3b7c-451b-8751-e9d2cce871e3
65,2025-09-26 18:41:09.266748+00,2025-09-26 18:41:09.266748+00,,51,12,10,150,1500,f2d9d228-d876-4fb2-be92-6c8e9626cf53,d237f09e-3b7c-451b-8751-e9d2cce871e3
66,2025-09-26 18:41:09.266748+00,2025-09-26 18:41:09.266748+00,,51,630,1,1800,1800,0095d9ac-b2a3-427f-91f1-2f62c54f62d2,d237f09e-3b7c-451b-8751-e9d2cce871e3
67,2025-09-26 18:45:41.799514+00,2025-09-26 18:45:41.799514+00,,52,274,2,1800,3600,92006475-4fe0-44fb-835e-6ae14676bf9b,8e70ae51-62be-4f70-8ec7-1ea1c24a3e21
68,2025-09-26 18:56:30.090935+00,2025-09-26 18:56:30.090935+00,,53,310,1,3400,3400,9b9e879e-27bf-436a-b45d-df5fa0d2b61b,2fdc0b47-5f00-402d-a416-bd05333098f8
69,2025-09-26 18:56:30.090935+00,2025-09-26 18:56:30.090935+00,,53,258,4,1400,5600,67958f2b-843c-4b1d-bde7-d2b22170c017,2fdc0b47-5f00-402d-a416-bd05333098f8
70,2025-09-26 19:03:38.980353+00,2025-09-26 19:03:38.980353+00,,54,495,1,12900,12900,cb6426a0-66c4-4244-9970-9cd8b717af06,f70d1e20-2f66-4a31-ac25-347cb045a827
71,2025-09-26 19:43:34.126188+00,2025-09-26 19:43:34.126188+00,,55,501,1,3200,3200,87febe43-b7b8-4a66-ae55-0331848075a1,a9f7defa-ba1e-4e86-a7e5-83ce6f68b593
72,2025-09-26 20:02:16.943274+00,2025-09-26 20:02:16.943274+00,,56,639,20,300,6000,e3232557-cab8-4d65-ac4a-acb1bb419722,700da612-8c2f-434a-b50d-22b27b21cd79
73,2025-09-26 20:09:21.789393+00,2025-09-26 20:09:21.789393+00,,57,848,1,4500,4500,33ca87c2-17f2-41f2-a889-6c68f7bbdd8f,ecd3a129-2c5a-42a3-905e-ec736bb56cd7
74,2025-09-26 20:09:39.286186+00,2025-09-26 20:09:39.286186+00,,58,625,4,1400,5600,ab9dee07-935e-4fd9-b987-da5169ec2ebd,d467c162-d788-4558-9607-e27b2f23f2fb
75,2025-09-26 20:12:31.00722+00,2025-09-26 20:12:31.00722+00,,59,849,1,600,600,c9328beb-83fb-4526-9c78-d8a482ceef23,fbfad6ab-162f-4ec6-875c-5903467f0f3e
76,2025-09-26 20:16:57.717615+00,2025-09-26 20:16:57.717615+00,,60,835,2,2000,4000,5211a39a-7144-4cbb-a8b6-840eee925a46,9a949085-217e-4b3b-b3bf-0b987cca7330
77,2025-09-26 20:38:43.04283+00,2025-09-26 20:38:43.04283+00,,61,617,2,1500,3000,5253b100-c32b-418a-aebc-27169c23bdca,af1d47be-81b9-496e-838b-c59a150a5d1b
78,2025-09-26 20:46:57.991866+00,2025-09-26 20:46:57.991866+00,,62,100,4,800,3200,8dc277ce-3206-4638-8b21-5b9443d8dc69,6a562505-3c50-42ea-aa05-c790aa5840ea
79,2025-09-26 20:47:19.257809+00,2025-09-26 20:47:19.257809+00,,63,12,10,150,1500,50d297fb-88f3-48f6-8c4e-2bd9b5d3f72c,fc5a9b54-f863-4471-84d1-9bdbc3f79a4c
80,2025-09-26 20:50:18.799733+00,2025-09-26 20:50:18.799733+00,,64,785,2,1900,3800,11178cbe-f1d0-42f8-9860-53db23fedf53,b1712946-6cd3-48eb-9da1-c1c897a6fbcd
81,2025-09-26 20:56:52.48891+00,2025-09-26 20:56:52.48891+00,,65,72,1,73000,73000,8c5c6351-8302-4944-b792-110fbdb668bd,bb8cb507-c489-4a6a-9eda-c5923fc94fd1
82,2025-09-26 20:58:18.689061+00,2025-09-26 20:58:18.689061+00,,66,643,4,1300,5200,5ac7f130-c02a-4ee9-b8ea-55c51f0485d2,016467af-c04f-4d7a-ab7e-0802808d4d3a
83,2025-09-26 21:15:30.954112+00,2025-09-26 21:15:30.954112+00,,67,55,1,7900,7900,d63c894a-d1d1-4380-8281-28a821f1b7d7,87c275f3-5da5-4b0b-98ab-dcf314ded8e9
84,2025-09-26 21:19:46.793592+00,2025-09-26 21:19:46.793592+00,,68,634,2,2700,5400,1d8aef78-a9aa-4b4e-ae42-54151352423f,13a95855-5ddb-489a-a806-613ac1c77041
85,2025-09-26 21:25:14.441103+00,2025-09-26 21:25:14.441103+00,,69,861,1,11800,11800,f36b1871-446f-4c47-9775-def01ca8a59b,9bce26c1-214d-4023-b73e-1999d105e20b
86,2025-09-26 21:35:31.840927+00,2025-09-26 21:35:31.840927+00,,70,694,1,69000,69000,90c1dadf-5d3b-47dd-81ca-36e89ecb3c85,7701d095-c14d-4e7a-bfeb-35ccd4eb6d5b
87,2025-09-26 22:14:58.975465+00,2025-09-26 22:14:58.975465+00,,71,678,4,1400,5600,00f6c053-030c-4ef5-83a8-5f38c86c760a,3875a5f9-b59c-4af5-ad0c-724c525e58a2
88,2025-09-26 22:17:09.10024+00,2025-09-26 22:17:09.10024+00,,72,839,1,100,100,aa6e9fb9-8a20-44af-9c5c-43a8ea2bf8d1,bbe6d4ac-4fe4-47d2-801d-4e14fc2ba72d
89,2025-09-26 22:17:25.363973+00,2025-09-26 22:17:25.363973+00,,73,849,1,600,600,3c0dd809-c78a-42d0-9c62-17e238d70ce9,ba64c9e4-d839-47d1-9d43-41e3935667a5
90,2025-09-26 22:23:38.70138+00,2025-09-26 22:23:38.70138+00,,74,464,1,2800,2800,b1e737c7-c4c4-48f3-8b62-0450e84a1937,58d60e99-e6e0-4efa-9ef3-0e5335bda9a1
91,2025-09-26 22:23:38.70138+00,2025-09-26 22:23:38.70138+00,,74,54,1,4300,4300,29d4178b-9792-4d7f-9c65-e85a770a37fd,58d60e99-e6e0-4efa-9ef3-0e5335bda9a1
92,2025-09-26 22:23:38.70138+00,2025-09-26 22:23:38.70138+00,,74,12,10,100,1000,94a6b790-fca1-460e-9369-fd7fbd9234ce,58d60e99-e6e0-4efa-9ef3-0e5335bda9a1
93,2025-09-26 22:35:17.965228+00,2025-09-26 22:35:17.965228+00,,75,835,1,2000,2000,488c1ea5-94a1-4e9b-876a-38a07a82b556,89dea5c9-1c95-40cd-82b3-409eed7788a3
94,2025-09-26 22:35:17.965228+00,2025-09-26 22:35:17.965228+00,,75,464,1,2800,2800,2bbdbcd0-c127-4171-80fb-7ac01fad49c9,89dea5c9-1c95-40cd-82b3-409eed7788a3
95,2025-09-26 22:40:26.266944+00,2025-09-26 22:40:26.266944+00,,76,857,1,4900,4900,b4e2893e-44a9-41ca-8230-4d3d3c51a75c,0331218c-7fb9-4633-8f0a-069df6e07c7f
96,2025-09-26 22:42:21.804954+00,2025-09-26 22:42:21.804954+00,,77,667,1,1400,1400,9a26809e-7c7b-4372-ac7b-6228b8ffadc2,2171b8ce-c336-48f7-a03d-7ce9b9c23a6c
97,2025-09-26 22:45:57.935263+00,2025-09-26 22:45:57.935263+00,,78,640,2,1200,2400,179c919c-6e33-4c18-bda1-da71f13dc989,da56b70f-2f8e-4b10-a3b7-8e24393c093b
98,2025-09-26 22:50:10.301305+00,2025-09-26 22:50:10.301305+00,,79,229,1,16900,16900,e63a7d00-e86d-409f-ba89-6593c8cdd08a,f86e7849-cf5d-4ac3-a97c-b513f8b9294a
99,2025-09-26 22:50:10.301305+00,2025-09-26 22:50:10.301305+00,,79,266,2,3400,6800,1e4bb981-017f-472e-9614-c2afd975ff62,f86e7849-cf5d-4ac3-a97c-b513f8b9294a
100,2025-09-26 22:52:11.219648+00,2025-09-26 22:52:11.219648+00,,80,659,10,690,6900,e2d7dc18-eb7a-4945-af0e-a5d3246d44dc,e34b88dd-dd0f-44ea-9aa5-2007aa0de2df
101,2025-09-26 22:54:36.519776+00,2025-09-26 22:54:36.519776+00,,81,645,1,1300,1300,78f26bea-e6bd-4136-8fb6-c2d16bd5370e,c6d85dc8-39a1-453a-a845-94035faa39eb
102,2025-09-26 22:57:33.061582+00,2025-09-26 22:57:33.061582+00,,82,139,1,15500,15500,ec851838-6717-4ac4-b592-da7e68255d6d,3a47c4c7-cdeb-496a-9384-0dd9cdd0a037
103,2025-09-26 22:59:54.470185+00,2025-09-26 22:59:54.470185+00,,83,630,2,1800,3600,fdf6f75b-c9e5-4d78-9f7d-f3194a971cc7,f1a46326-dd2f-40e6-b3ff-2c75c3d6df5d
104,2025-09-26 22:59:54.470185+00,2025-09-26 22:59:54.470185+00,,83,779,1,1800,1800,cfdcce6e-1c88-4c86-bd65-77ea6e4a5417,f1a46326-dd2f-40e6-b3ff-2c75c3d6df5d
105,2025-09-26 23:04:12.742236+00,2025-09-26 23:04:12.742236+00,,84,630,2,1800,3600,471a6b22-8211-4a89-9517-d1188cf56c99,10ee7379-8a81-44a1-a41b-f9e3433cf480
106,2025-09-27 01:09:36.636307+00,2025-09-27 01:09:36.636307+00,,85,862,1,14900,14900,ea49008a-0b64-446e-818f-9d593cae6985,6cc2b144-3e49-4918-ad41-a6cc352931f0
107,2025-09-27 01:13:48.020902+00,2025-09-27 01:13:48.020902+00,,86,213,1,11800,11800,a79c6b8c-6195-4379-8e26-ea599cc5d7c2,a9e7fa20-05ac-4927-a682-93b02180f166
108,2025-09-27 13:04:56.600305+00,2025-09-27 13:04:56.600305+00,,87,12,20,100,2000,8c891d29-dcce-4a4b-8981-5ebde242fbf4,66e0a308-707e-4a41-9563-c93d0ee2df29
109,2025-09-27 13:04:56.600305+00,2025-09-27 13:04:56.600305+00,,87,94,2,2200,4400,7c7f5a52-74ba-4a58-b573-dac76d88d163,66e0a308-707e-4a41-9563-c93d0ee2df29
110,2025-09-27 13:04:56.600305+00,2025-09-27 13:04:56.600305+00,,87,540,2,2400,4800,856df4b7-709d-402f-8911-e3b8130edb08,66e0a308-707e-4a41-9563-c93d0ee2df29
111,2025-09-27 13:07:54.740347+00,2025-09-27 13:07:54.740347+00,,88,642,4,1600,6400,f03e1691-3a39-4d3b-bad2-dc9c3472a183,b66b09f5-7d15-4102-9495-039818e698ea
112,2025-09-27 13:07:54.740347+00,2025-09-27 13:07:54.740347+00,,88,809,1,3400,3400,8a865563-bf05-4d2e-b230-b3310b48c201,b66b09f5-7d15-4102-9495-039818e698ea
113,2025-09-27 13:07:54.740347+00,2025-09-27 13:07:54.740347+00,,88,504,1,1300,1300,ff919ec1-d639-41ec-ab3a-fda64b454cfa,b66b09f5-7d15-4102-9495-039818e698ea
114,2025-09-27 13:11:18.563891+00,2025-09-27 13:11:18.563891+00,,89,395,4,600,2400,305da12d-bf42-44df-8267-0e1a0ef8648f,cc603a61-67ff-417e-a87e-1d541934df29
115,2025-09-27 13:53:20.478095+00,2025-09-27 13:53:20.478095+00,,90,634,2,2700,5400,e05ca14c-ab0c-4833-963a-bf2e90be60f2,3d1ca8f8-fe51-4fca-9e30-f42f66869b86
116,2025-09-27 13:53:20.478095+00,2025-09-27 13:53:20.478095+00,,90,206,4,1600,6400,25c2af45-2117-449a-8db3-68a8d97d7737,3d1ca8f8-fe51-4fca-9e30-f42f66869b86
117,2025-09-27 13:53:20.478095+00,2025-09-27 13:53:20.478095+00,,90,630,1,1800,1800,e740e89d-8581-4874-a687-3dc2c919fb67,3d1ca8f8-fe51-4fca-9e30-f42f66869b86
118,2025-09-27 13:53:20.478095+00,2025-09-27 13:53:20.478095+00,,90,822,10,530,5300,b52c9aee-21f8-46c1-acc1-cf1506189d29,3d1ca8f8-fe51-4fca-9e30-f42f66869b86
119,2025-09-27 14:23:29.102028+00,2025-09-27 14:23:29.102028+00,,91,436,8,500,4000,60845e4e-51e1-461a-b3aa-6f6fe75e4aa4,cbe4cd16-63ab-43dd-b743-f665395c9364
120,2025-09-27 14:30:07.483964+00,2025-09-27 14:30:07.483964+00,,92,639,10,280,2800,de7a1589-52a9-4ade-a35c-7efec5e5df8d,45588607-4270-424a-bb8e-b6f6a9e8cfbc
121,2025-09-27 14:30:07.483964+00,2025-09-27 14:30:07.483964+00,,92,863,4,3200,12800,41b2be61-c9a3-4a26-9bdb-63d49b9ce4ab,45588607-4270-424a-bb8e-b6f6a9e8cfbc
122,2025-09-27 14:42:22.922431+00,2025-09-27 14:42:22.922431+00,,93,459,10,300,3000,cf37fd2f-7f39-416c-a852-2f6b5f55f102,f9e200e4-6829-4d4a-85a3-0f2acc645a47
123,2025-09-27 14:42:22.922431+00,2025-09-27 14:42:22.922431+00,,93,12,10,100,1000,03c03aa4-df39-442e-9f71-3309a54356ab,f9e200e4-6829-4d4a-85a3-0f2acc645a47
124,2025-09-27 14:42:22.922431+00,2025-09-27 14:42:22.922431+00,,93,809,1,3400,3400,0ab58aaa-5fe3-452d-8e73-495bac6f7a99,f9e200e4-6829-4d4a-85a3-0f2acc645a47
125,2025-09-27 14:42:22.922431+00,2025-09-27 14:42:22.922431+00,,93,375,10,440,4400,c56f9e95-39ac-4dd7-92a9-140aac9d0d1b,f9e200e4-6829-4d4a-85a3-0f2acc645a47
126,2025-09-27 14:43:15.310973+00,2025-09-27 14:43:15.310973+00,,94,630,2,1800,3600,7846a549-3d88-490b-b076-9c429c3d01e1,84ec112a-b1b2-44ed-86fb-eae80153373b
128,2025-09-27 14:56:11.866542+00,2025-09-27 14:56:11.866542+00,,96,627,4,2200,8800,691067b6-1699-41b5-8770-cc595c04b1d9,d4cfe9a1-ed17-46e8-821a-d3cdc1e6ec64
129,2025-09-27 15:07:16.015104+00,2025-09-27 15:07:16.015104+00,,97,193,30,120,3600,f8bcd8e3-f806-48c0-830e-9996973ad113,f1e8b40b-b297-4ea6-8e03-3cd2679a758b
130,2025-09-27 15:09:43.713979+00,2025-09-27 15:09:43.713979+00,,98,247,2,1400,2800,ce9cf9c9-4fa9-4ccc-8cbd-4471f948e68d,adf0ab63-7d08-4d27-8b4a-f4e36003556b
131,2025-09-27 15:13:28.855902+00,2025-09-27 15:13:28.855902+00,,99,886,1,1500,1500,1ca568b2-9756-4f49-b1b4-b7cf3f02bb7a,f5e72e62-f719-4801-a252-73ec6a464fa2
132,2025-09-27 15:42:29.48457+00,2025-09-27 15:42:29.48457+00,,100,887,2,1700,3400,10d3b1aa-b400-4cc4-a568-2255fa2b4ebf,b479569d-b0b8-40af-9175-96d5a904d1a9
