id,created_at,updated_at,deleted_at,numero_factura,fecha_emision,vendedor_id,cliente_id,subtotal,iva,total,estado,metodo_pago,uuid
37,2025-09-26 17:10:08.637346+00,2025-09-26 17:10:08.637346+00,,FAC-1036,2025-09-26 17:10:08.633587+00,1,1,5000,950,5950,Pagada,efectivo,76bb6ad2-d27b-4039-b488-87bf17f71112
38,2025-09-26 17:11:05.662404+00,2025-09-26 17:11:05.662404+00,,FAC-1037,2025-09-26 17:11:05.658528+00,1,1,6400,1216,7616,Pagada,efectivo,ca23fc89-7efe-459c-818c-6daca79204a5
39,2025-09-26 17:13:27.757991+00,2025-09-26 17:13:27.757991+00,,FAC-1038,2025-09-26 17:13:27.754901+00,1,1,1500,285,1785,Pagada,efectivo,090a0b90-e43a-4b2c-8f01-db4b8402807d
40,2025-09-26 17:13:42.285904+00,2025-09-26 17:13:42.285904+00,,FAC-1039,2025-09-26 17:13:42.282635+00,1,1,4400,836,5236,Pagada,efectivo,ddb49858-0c83-476f-89ea-4a2ac49b5d25
41,2025-09-26 17:23:40.661923+00,2025-09-26 17:23:40.661923+00,,FAC-1040,2025-09-26 17:23:40.658715+00,1,1,1800,342,2142,Pagada,efectivo,1f5e1348-53f1-4f78-bd18-e0d7c89e8368
42,2025-09-26 17:24:18.829858+00,2025-09-26 17:24:18.829858+00,,FAC-1041,2025-09-26 17:24:18.826984+00,1,1,500,95,595,Pagada,efectivo,c0d69e8a-9eb3-4113-bd38-77212c0ef385
43,2025-09-26 17:25:49.134521+00,2025-09-26 17:25:49.134521+00,,FAC-1042,2025-09-26 17:25:49.130795+00,1,1,1500,285,1785,Pagada,efectivo,7c305bc2-33a7-4e81-8963-efbc0b0353f0
44,2025-09-26 17:39:00.059839+00,2025-09-26 17:39:00.059839+00,,FAC-1043,2025-09-26 17:39:00.058702+00,1,1,10800,2052,12852,Pagada,efectivo,448a8a36-0e70-454c-bbcb-5f8c94b10dfa
45,2025-09-26 18:05:52.176378+00,2025-09-26 18:05:52.176378+00,,FAC-1044,2025-09-26 18:05:52.172637+00,1,1,4500,855,5355,Pagada,efectivo,3d51fc14-950c-48a7-8562-0a3e2a867bc5
46,2025-09-26 18:07:21.344891+00,2025-09-26 18:07:21.344891+00,,FAC-1045,2025-09-26 18:07:21.340739+00,1,1,4900,931,5831,Pagada,efectivo,209decad-1463-4035-811b-c49442d2b1dd
47,2025-09-26 18:09:46.21602+00,2025-09-26 18:09:46.21602+00,,FAC-1046,2025-09-26 18:09:46.212838+00,1,1,800,152,952,Pagada,efectivo,f6294569-4946-4245-b335-9f8e0e134ff4
48,2025-09-26 18:13:03.368119+00,2025-09-26 18:13:03.368119+00,,FAC-1047,2025-09-26 18:13:03.364425+00,1,1,4000,760,4760,Pagada,efectivo,7821be02-9397-4917-912f-cc0328e08eb2
49,2025-09-26 18:18:02.758382+00,2025-09-26 18:18:02.758382+00,,FAC-1048,2025-09-26 18:18:02.75573+00,1,1,3000,570,3570,Pagada,efectivo,f42826f5-f9f8-437f-9250-043a9c1ca025
50,2025-09-26 18:33:41.61674+00,2025-09-26 18:33:41.61674+00,,FAC-1049,2025-09-26 18:33:41.613914+00,1,1,2400,456,2856,Pagada,efectivo,fe0c9af7-971b-442f-822b-31c80212c939
51,2025-09-26 18:41:09.266396+00,2025-09-26 18:41:09.266396+00,,FAC-1050,2025-09-26 18:41:09.26219+00,1,1,5300,1007,6307,Pagada,efectivo,d237f09e-3b7c-451b-8751-e9d2cce871e3
52,2025-09-26 18:45:41.798964+00,2025-09-26 18:45:41.798964+00,,FAC-1051,2025-09-26 18:45:41.798414+00,1,1,3600,684,4284,Pagada,efectivo,8e70ae51-62be-4f70-8ec7-1ea1c24a3e21
53,2025-09-26 18:56:30.090935+00,2025-09-26 18:56:30.090935+00,,FAC-1052,2025-09-26 18:56:30.086541+00,1,1,9000,1710,10710,Pagada,efectivo,2fdc0b47-5f00-402d-a416-bd05333098f8
54,2025-09-26 19:03:38.979608+00,2025-09-26 19:03:38.979608+00,,FAC-1053,2025-09-26 19:03:38.975309+00,1,1,12900,2451,15351,Pagada,efectivo,f70d1e20-2f66-4a31-ac25-347cb045a827
55,2025-09-26 19:43:34.126188+00,2025-09-26 19:43:34.126188+00,,FAC-1054,2025-09-26 19:43:34.112985+00,1,1,3200,608,3808,Pagada,efectivo,a9f7defa-ba1e-4e86-a7e5-83ce6f68b593
56,2025-09-26 20:02:16.942724+00,2025-09-26 20:02:16.942724+00,,FAC-1055,2025-09-26 20:02:16.937421+00,1,1,6000,1140,7140,Pagada,efectivo,700da612-8c2f-434a-b50d-22b27b21cd79
57,2025-09-26 20:09:21.788878+00,2025-09-26 20:09:21.788878+00,,FAC-1056,2025-09-26 20:09:21.786253+00,1,1,4500,855,5355,Pagada,efectivo,ecd3a129-2c5a-42a3-905e-ec736bb56cd7
58,2025-09-26 20:09:39.285883+00,2025-09-26 20:09:39.285883+00,,FAC-1057,2025-09-26 20:09:39.282304+00,1,1,5600,1064,6664,Pagada,efectivo,d467c162-d788-4558-9607-e27b2f23f2fb
59,2025-09-26 20:12:31.006839+00,2025-09-26 20:12:31.006839+00,,FAC-1058,2025-09-26 20:12:31.002509+00,1,1,600,114,714,Pagada,efectivo,fbfad6ab-162f-4ec6-875c-5903467f0f3e
60,2025-09-26 20:16:57.717615+00,2025-09-26 20:16:57.717615+00,,FAC-1059,2025-09-26 20:16:57.714075+00,1,1,4000,760,4760,Pagada,efectivo,9a949085-217e-4b3b-b3bf-0b987cca7330
61,2025-09-26 20:38:43.042325+00,2025-09-26 20:38:43.042325+00,,FAC-1060,2025-09-26 20:38:43.037563+00,1,1,3000,570,3570,Pagada,efectivo,af1d47be-81b9-496e-838b-c59a150a5d1b
62,2025-09-26 20:46:57.991866+00,2025-09-26 20:46:57.991866+00,,FAC-1061,2025-09-26 20:46:57.988169+00,1,1,3200,608,3808,Pagada,efectivo,6a562505-3c50-42ea-aa05-c790aa5840ea
63,2025-09-26 20:47:19.257809+00,2025-09-26 20:47:19.257809+00,,FAC-1062,2025-09-26 20:47:19.253611+00,1,1,1500,285,1785,Pagada,efectivo,fc5a9b54-f863-4471-84d1-9bdbc3f79a4c
64,2025-09-26 20:50:18.799733+00,2025-09-26 20:50:18.799733+00,,FAC-1063,2025-09-26 20:50:18.796165+00,1,1,3800,722,4522,Pagada,efectivo,b1712946-6cd3-48eb-9da1-c1c897a6fbcd
65,2025-09-26 20:56:52.488172+00,2025-09-26 20:56:52.488172+00,,FAC-1064,2025-09-26 20:56:52.48395+00,1,1,73000,13870,86870,Pagada,efectivo,bb8cb507-c489-4a6a-9eda-c5923fc94fd1
66,2025-09-26 20:58:18.688313+00,2025-09-26 20:58:18.688313+00,,FAC-1065,2025-09-26 20:58:18.687797+00,1,1,5200,988,6188,Pagada,efectivo,016467af-c04f-4d7a-ab7e-0802808d4d3a
67,2025-09-26 21:15:30.953598+00,2025-09-26 21:15:30.953598+00,,FAC-1066,2025-09-26 21:15:30.949687+00,1,1,7900,1501,9401,Pagada,efectivo,87c275f3-5da5-4b0b-98ab-dcf314ded8e9
68,2025-09-26 21:19:46.793029+00,2025-09-26 21:19:46.793029+00,,FAC-1067,2025-09-26 21:19:46.789769+00,1,1,5400,1026,6426,Pagada,efectivo,13a95855-5ddb-489a-a806-613ac1c77041
69,2025-09-26 21:25:14.440553+00,2025-09-26 21:25:14.440553+00,,FAC-1068,2025-09-26 21:25:14.437127+00,1,1,11800,2242,14042,Pagada,efectivo,9bce26c1-214d-4023-b73e-1999d105e20b
70,2025-09-26 21:35:31.840591+00,2025-09-26 21:35:31.840591+00,,FAC-1069,2025-09-26 21:35:31.837712+00,1,1,69000,13110,82110,Pagada,efectivo,7701d095-c14d-4e7a-bfeb-35ccd4eb6d5b
71,2025-09-26 22:14:58.974928+00,2025-09-26 22:14:58.974928+00,,FAC-1070,2025-09-26 22:14:58.968241+00,3,1,5600,0,5600,Pagada,efectivo,3875a5f9-b59c-4af5-ad0c-724c525e58a2
72,2025-09-26 22:17:09.099684+00,2025-09-26 22:17:09.099684+00,,FAC-1071,2025-09-26 22:17:09.095722+00,3,1,100,0,100,Pagada,efectivo,bbe6d4ac-4fe4-47d2-801d-4e14fc2ba72d
73,2025-09-26 22:17:25.363973+00,2025-09-26 22:17:25.363973+00,,FAC-1072,2025-09-26 22:17:25.359555+00,3,1,600,0,600,Pagada,efectivo,ba64c9e4-d839-47d1-9d43-41e3935667a5
74,2025-09-26 22:23:38.70138+00,2025-09-26 22:23:38.70138+00,,FAC-1073,2025-09-26 22:23:38.696063+00,3,1,8100,0,8100,Pagada,efectivo,58d60e99-e6e0-4efa-9ef3-0e5335bda9a1
75,2025-09-26 22:35:17.965228+00,2025-09-26 22:35:17.965228+00,,FAC-1074,2025-09-26 22:35:17.960441+00,3,1,4800,0,4800,Pagada,efectivo,89dea5c9-1c95-40cd-82b3-409eed7788a3
76,2025-09-26 22:40:26.266336+00,2025-09-26 22:40:26.266336+00,,FAC-1075,2025-09-26 22:40:26.264847+00,3,1,4900,0,4900,Pagada,efectivo,0331218c-7fb9-4633-8f0a-069df6e07c7f
77,2025-09-26 22:42:21.804954+00,2025-09-26 22:42:21.804954+00,,FAC-1076,2025-09-26 22:42:21.800726+00,3,1,1400,0,1400,Pagada,efectivo,2171b8ce-c336-48f7-a03d-7ce9b9c23a6c
78,2025-09-26 22:45:57.93473+00,2025-09-26 22:45:57.93473+00,,FAC-1077,2025-09-26 22:45:57.933037+00,3,1,2400,0,2400,Pagada,efectivo,da56b70f-2f8e-4b10-a3b7-8e24393c093b
79,2025-09-26 22:50:10.301305+00,2025-09-26 22:50:10.301305+00,,FAC-1078,2025-09-26 22:50:10.29717+00,3,1,23700,0,23700,Pagada,efectivo,f86e7849-cf5d-4ac3-a97c-b513f8b9294a
80,2025-09-26 22:52:11.219648+00,2025-09-26 22:52:11.219648+00,,FAC-1079,2025-09-26 22:52:11.216203+00,3,1,6900,0,6900,Pagada,efectivo,e34b88dd-dd0f-44ea-9aa5-2007aa0de2df
81,2025-09-26 22:54:36.519138+00,2025-09-26 22:54:36.519138+00,,FAC-1080,2025-09-26 22:54:36.513838+00,3,1,1300,0,1300,Pagada,efectivo,c6d85dc8-39a1-453a-a845-94035faa39eb
82,2025-09-26 22:57:33.060972+00,2025-09-26 22:57:33.060972+00,,FAC-1081,2025-09-26 22:57:33.057425+00,3,1,15500,0,15500,Pagada,efectivo,3a47c4c7-cdeb-496a-9384-0dd9cdd0a037
83,2025-09-26 22:59:54.469647+00,2025-09-26 22:59:54.469647+00,,FAC-1082,2025-09-26 22:59:54.465486+00,3,1,5400,0,5400,Pagada,efectivo,f1a46326-dd2f-40e6-b3ff-2c75c3d6df5d
84,2025-09-26 23:04:12.741512+00,2025-09-26 23:04:12.741512+00,,FAC-1083,2025-09-26 23:04:12.737743+00,3,1,3600,0,3600,Pagada,efectivo,10ee7379-8a81-44a1-a41b-f9e3433cf480
85,2025-09-27 01:09:36.635953+00,2025-09-27 01:09:36.635953+00,,FAC-1084,2025-09-27 01:09:36.631861+00,3,1,14900,0,14900,Pagada,efectivo,6cc2b144-3e49-4918-ad41-a6cc352931f0
86,2025-09-27 01:13:48.020902+00,2025-09-27 01:13:48.020902+00,,FAC-1085,2025-09-27 01:13:48.015726+00,3,1,11800,0,11800,Pagada,efectivo,a9e7fa20-05ac-4927-a682-93b02180f166
87,2025-09-27 13:04:56.599606+00,2025-09-27 13:04:56.599606+00,,FAC-1086,2025-09-27 13:04:56.591386+00,3,1,11200,0,11200,Pagada,efectivo,66e0a308-707e-4a41-9563-c93d0ee2df29
88,2025-09-27 13:07:54.740081+00,2025-09-27 13:07:54.740081+00,,FAC-1087,2025-09-27 13:07:54.735211+00,3,1,11100,0,11100,Pagada,efectivo,b66b09f5-7d15-4102-9495-039818e698ea
89,2025-09-27 13:11:18.563891+00,2025-09-27 13:11:18.563891+00,,FAC-1088,2025-09-27 13:11:18.559142+00,3,1,2400,0,2400,Pagada,efectivo,cc603a61-67ff-417e-a87e-1d541934df29
90,2025-09-27 13:53:20.47758+00,2025-09-27 13:53:20.47758+00,,FAC-1089,2025-09-27 13:53:20.473228+00,3,1,18900,0,18900,Pagada,efectivo,3d1ca8f8-fe51-4fca-9e30-f42f66869b86
91,2025-09-27 14:23:29.101491+00,2025-09-27 14:23:29.101491+00,,FAC-1090,2025-09-27 14:23:29.097804+00,3,1,4000,0,4000,Pagada,efectivo,cbe4cd16-63ab-43dd-b743-f665395c9364
92,2025-09-27 14:30:07.483418+00,2025-09-27 14:30:07.483418+00,,FAC-1091,2025-09-27 14:30:07.481856+00,3,1,15600,0,15600,Pagada,efectivo,45588607-4270-424a-bb8e-b6f6a9e8cfbc
93,2025-09-27 14:42:22.921695+00,2025-09-27 14:42:22.921695+00,,FAC-1092,2025-09-27 14:42:22.914963+00,3,1,11800,0,11800,Pagada,efectivo,f9e200e4-6829-4d4a-85a3-0f2acc645a47
94,2025-09-27 14:43:15.310195+00,2025-09-27 14:43:15.310195+00,,FAC-1093,2025-09-27 14:43:15.30649+00,3,1,3600,0,3600,Pagada,efectivo,84ec112a-b1b2-44ed-86fb-eae80153373b
96,2025-09-27 14:56:11.866542+00,2025-09-27 14:56:11.866542+00,,FAC-1095,2025-09-27 14:56:11.859986+00,3,1,8800,0,8800,Pagada,efectivo,d4cfe9a1-ed17-46e8-821a-d3cdc1e6ec64
97,2025-09-27 15:07:16.014599+00,2025-09-27 15:07:16.014599+00,,FAC-1096,2025-09-27 15:07:16.010973+00,3,1,3600,0,3600,Pagada,efectivo,f1e8b40b-b297-4ea6-8e03-3cd2679a758b
98,2025-09-27 15:09:43.713425+00,2025-09-27 15:09:43.713425+00,,FAC-1097,2025-09-27 15:09:43.708421+00,3,1,2800,0,2800,Pagada,efectivo,adf0ab63-7d08-4d27-8b4a-f4e36003556b
99,2025-09-27 15:13:28.855902+00,2025-09-27 15:13:28.855902+00,,FAC-1098,2025-09-27 15:13:28.851657+00,3,1,1500,0,1500,Pagada,efectivo,f5e72e62-f719-4801-a252-73ec6a464fa2
100,2025-09-27 15:42:29.48457+00,2025-09-27 15:42:29.48457+00,,FAC-1099,2025-09-27 15:42:29.47682+00,3,1,46900,0,46900,Pagada,efectivo,b479569d-b0b8-40af-9175-96d5a904d1a9
101,2025-09-27 15:44:35.481365+00,2025-09-27 15:44:35.481365+00,,FAC-1100,2025-09-27 15:44:35.47702+00,3,1,25100,0,25100,Pagada,efectivo,4cc4c031-584b-4456-a681-cefcbe06a3af
103,2025-09-27 15:54:18.434855+00,2025-09-27 15:54:18.434855+00,,FAC-1102,2025-09-27 15:54:18.429265+00,3,1,3600,0,3600,Pagada,efectivo,801ea6b7-596d-41e5-85fb-f8e2f237366f
104,2025-09-27 15:58:57.289754+00,2025-09-27 15:58:57.289754+00,,FAC-1103,2025-09-27 15:58:57.28568+00,3,1,14700,0,14700,Pagada,efectivo,a0424e72-4f29-4da3-a683-e6f2f1cbe83b
105,2025-09-27 16:04:11.057035+00,2025-09-27 16:04:11.057035+00,,FAC-1104,2025-09-27 16:04:11.05312+00,3,1,12500,0,12500,Pagada,efectivo,4b244e8c-d6d7-42c1-b928-0fb36f923bc5
106,2025-09-27 16:09:01.521708+00,2025-09-27 16:09:01.521708+00,,FAC-1105,2025-09-27 16:09:01.517333+00,3,1,9400,0,9400,Pagada,efectivo,e7664bd2-30ad-446e-aadb-2aa23ef74713
107,2025-09-27 16:12:05.434296+00,2025-09-27 16:12:05.434296+00,,FAC-1106,2025-09-27 16:12:05.430202+00,3,1,4000,0,4000,Pagada,efectivo,01d21329-0133-4b70-b0f6-99560e4ca249
108,2025-09-27 16:17:02.666655+00,2025-09-27 16:17:02.666655+00,,FAC-1107,2025-09-27 16:17:02.661705+00,3,1,1000,0,1000,Pagada,efectivo,65705f03-d57a-4cda-b5f1-0618d7908aaa
109,2025-09-27 16:28:20.562269+00,2025-09-27 16:28:20.562269+00,,FAC-1108,2025-09-27 16:28:20.558347+00,3,1,5000,0,5000,Pagada,efectivo,d1e7547b-8a92-4670-9532-5fa1f9da4724
110,2025-09-27 16:31:21.561867+00,2025-09-27 16:31:21.561867+00,,FAC-1109,2025-09-27 16:31:21.558133+00,3,1,5900,0,5900,Pagada,efectivo,21bb1591-7286-4636-9be8-15bd6c615806
111,2025-09-27 16:32:25.201919+00,2025-09-27 16:32:25.201919+00,,FAC-1110,2025-09-27 16:32:25.198175+00,3,1,6600,0,6600,Pagada,efectivo,f889c088-2f08-42c6-8fcd-9c2b5144b642
112,2025-09-27 16:34:45.650616+00,2025-09-27 16:34:45.650616+00,,FAC-1111,2025-09-27 16:34:45.646289+00,3,1,1800,0,1800,Pagada,efectivo,587292e8-e135-4aa2-97ec-4de7f58c6e43
113,2025-09-27 16:47:56.450817+00,2025-09-27 16:47:56.450817+00,,FAC-1112,2025-09-27 16:47:56.446866+00,3,1,8500,0,8500,Pagada,efectivo,b459d59a-147c-45b6-a289-291391a5b946
114,2025-09-27 16:54:29.379472+00,2025-09-27 16:54:29.379472+00,,FAC-1113,2025-09-27 16:54:29.375125+00,3,1,4800,0,4800,Pagada,efectivo,c20f9fde-4bf4-4274-9e67-63aa717cea9e
115,2025-09-27 16:55:54.498566+00,2025-09-27 16:55:54.498566+00,,FAC-1114,2025-09-27 16:55:54.494935+00,3,1,43000,0,43000,Pagada,efectivo,86d8e123-e1a9-4699-9f8d-5bb343e869c8
116,2025-09-27 17:00:44.107496+00,2025-09-27 17:00:44.107496+00,,FAC-1115,2025-09-27 17:00:44.103278+00,3,1,7600,0,7600,Pagada,efectivo,e3c2f2bd-7e37-4ba0-8d63-bf6ce5b19136
117,2025-09-27 17:01:28.210971+00,2025-09-27 17:01:28.210971+00,,FAC-1116,2025-09-27 17:01:28.207166+00,3,1,5700,0,5700,Pagada,efectivo,d6da0902-619f-4b42-b997-26bab6c92010
118,2025-09-27 17:03:30.77169+00,2025-09-27 17:03:30.77169+00,,FAC-1117,2025-09-27 17:03:30.767322+00,3,1,2400,0,2400,Pagada,efectivo,a7348d07-786f-48d7-a8bd-0ae50012d0b7
119,2025-09-27 17:09:32.043394+00,2025-09-27 17:09:32.043394+00,,FAC-1118,2025-09-27 17:09:32.039555+00,3,1,11900,0,11900,Pagada,efectivo,029fdbc1-4190-4618-aade-5832d61b83c7
120,2025-09-27 17:13:36.124163+00,2025-09-27 17:13:36.124163+00,,FAC-1119,2025-09-27 17:13:36.119827+00,3,1,4300,0,4300,Pagada,efectivo,a39df4d1-30a9-46c4-89c0-b1f4236724e2
121,2025-09-27 17:15:53.923897+00,2025-09-27 17:15:53.923897+00,,FAC-1120,2025-09-27 17:15:53.919811+00,3,1,3400,0,3400,Pagada,efectivo,e0100e7c-62f4-4a5a-a3a8-c569e937fe6a
122,2025-09-27 17:19:47.156096+00,2025-09-27 17:19:47.156096+00,,FAC-1121,2025-09-27 17:19:47.15196+00,3,1,10300,0,10300,Pagada,efectivo,7d75aab6-923d-4b6f-8691-c97b6c9f9a78
123,2025-09-27 17:24:32.035378+00,2025-09-27 17:24:32.035378+00,,FAC-1122,2025-09-27 17:24:32.032612+00,3,1,8500,0,8500,Pagada,efectivo,eb025ecb-f8a6-4171-8aff-6b8f9d379a81
124,2025-09-27 17:27:24.980614+00,2025-09-27 17:27:24.980614+00,,FAC-1123,2025-09-27 17:27:24.976257+00,3,1,1900,0,1900,Pagada,efectivo,ba0d4e8c-395c-437e-99de-a3cc48b003d2
